incident_energy,boxcar1,boxcar2,boxcar3,boxcar4
0.0100450736425446,0.0,0.0,0.0,0.0
0.0101358313333406,0.0,0.0,0.0,0.0
0.0102274090239427,0.0,0.0,0.0,0.0
0.0103198141230858,0.0,0.0,0.0,0.0
0.0104130541064433,0.0,0.0,0.0,0.0
0.0105071365172315,0.0,0.0,0.0,0.0
0.0106020689668199,0.0,0.0,0.0,0.0
0.0106978591353472,0.0,0.0,0.0,0.0
0.0107945147723425,0.0,0.0,0.0,0.0
0.0108920436973523,0.0,0.0,0.0,0.0
0.0109904538005729,0.0,0.0,0.0,0.0
0.0110897530434889,0.0,0.0,0.0,0.0
0.0111899494595174,0.0,0.0,0.0,0.0
0.0112910511546577,0.0,0.0,0.0,0.0
0.0113930663081471,0.0,0.0,0.0,0.0
0.0114960031731228,0.0,0.0,0.0,0.0
0.0115998700772894,0.0,0.0,0.0,0.0
0.0117046754235927,0.0,0.0,0.0,0.0
0.0118104276908994,0.0,0.0,0.0,0.0
0.0119171354346834,0.0,0.0,0.0,0.0
0.0120248072877173,0.0,0.0,0.0,0.0
0.0121334519607716,0.0,0.0,0.0,0.0
0.0122430782433187,0.0,0.0,0.0,0.0
0.0123536950042445,0.0,0.0,0.0,0.0
0.0124653111925654,0.0,0.0,0.0,0.0
0.0125779358381528,0.0,0.0,0.0,0.0
0.0126915780524634,0.0,0.0,0.0,0.0
0.0128062470292761,0.0,0.0,0.0,0.0
0.0129219520454363,0.0,0.0,0.0,0.0
0.0130387024616058,0.0,0.0,0.0,0.0
0.0131565077230207,0.0,0.0,0.0,0.0
0.0132753773602551,0.0,0.0,0.0,0.0
0.0133953209899921,0.0,0.0,0.0,0.0
0.0135163483158023,0.0,0.0,0.0,0.0
0.0136384691289282,0.0,0.0,0.0,0.0
0.0137616933090767,0.0,0.0,0.0,0.0
0.0138860308252185,0.0,0.0,0.0,0.0
0.0140114917363941,0.0,0.0,0.0,0.0
0.014138086192528,0.0,0.0,0.0,0.0
0.0142658244352497,0.0,0.0,0.0,0.0
0.0143947167987224,0.0,0.0,0.0,0.0
0.0145247737104788,0.0,0.0,0.0,0.0
0.0146560056922648,0.0,0.0,0.0,0.0
0.014788423360891,0.0,0.0,0.0,0.0
0.0149220374290909,0.0,0.0,0.0,0.0
0.0150568587063885,0.0,0.0,0.0,0.0
0.0151928980999721,0.0,0.0,0.0,0.0
0.0153301666155769,0.0,0.0,0.0,0.0
0.0154686753583755,0.0,0.0,0.0,0.0
0.0156084355338762,0.0,0.0,0.0,0.0
0.0157494584488296,0.0,0.0,0.0,0.0
0.0158917555121433,0.0,0.0,0.0,0.0
0.0160353382358048,0.0,0.0,0.0,0.0
0.0161802182358131,0.0,0.0,0.0,0.0
0.0163264072331181,0.0,0.0,0.0,0.0
0.016473917054569,0.0,0.0,0.0,0.0
0.0166227596338713,0.0,0.0,0.0,0.0
0.016772947012552,0.0,0.0,0.0,0.0
0.0169244913409336,0.0,0.0,0.0,0.0
0.0170774048791176,0.0,0.0,0.0,0.0
0.017231699997976,0.0,0.0,0.0,0.0
0.0173873891801521,0.0,0.0,0.0,0.0
0.0175444850210705,0.0,0.0,0.0,0.0
0.0177030002299559,0.0,0.0,0.0,0.0
0.0178629476308617,0.0,0.0,0.0,0.0
0.018024340163707,0.0,0.0,0.0,0.0
0.0181871908853236,0.0,0.0,0.0,0.0
0.0183515129705125,0.0,0.0,0.0,0.0
0.0185173197131094,0.0,0.0,0.0,0.0
0.0186846245270608,0.0,0.0,0.0,0.0
0.0188534409475084,0.0,0.0,0.0,0.0
0.0190237826318847,0.0,0.0,0.0,0.0
0.0191956633610178,0.0,0.0,0.0,0.0
